time_us,x,y,rz_rad,s0,s1,s2,s3
5101821.000000,246.000000,144.000000,0.261799,30.537207,41.250954,28.684406,160.789429
5122628.000000,246.000000,144.000000,0.274889,30.457073,41.734028,28.436319,159.238312
5136417.000000,246.000000,144.000000,0.287979,30.386038,42.230282,28.202381,157.740143
5150484.000000,246.000000,144.000000,0.301069,30.324123,42.740158,27.982182,156.293442
5171185.000000,246.000000,144.000000,0.314159,30.271439,43.263859,27.775389,154.896469
5185031.000000,246.000000,144.000000,0.327249,30.228035,43.801830,27.581635,153.547867
5205839.000000,246.000000,144.000000,0.340339,30.194071,44.354382,27.400650,152.246155
5219654.000000,246.000000,144.000000,0.353429,30.169674,44.921955,27.232056,150.990097
5233628.000000,246.000000,144.000000,0.366519,30.154938,45.504967,27.075628,149.778320
5254497.000000,246.000000,144.000000,0.379609,30.149981,46.103806,26.931101,148.609726
5268311.000000,246.000000,144.000000,0.392699,30.155025,46.718948,26.798176,147.483124
5289207.000000,246.000000,144.000000,0.405789,30.170195,47.350853,26.676697,146.397491
5302893.000000,246.000000,144.000000,0.418879,30.195648,48.000057,26.566332,145.351761
5316900.000000,246.000000,144.000000,0.431969,30.231583,48.667038,26.466961,144.344971
5337748.000000,246.000000,144.000000,0.445059,30.278194,49.352379,26.378374,143.376205
5351553.000000,246.000000,144.000000,0.458149,30.335730,50.056622,26.300322,142.444687
5372464.000000,246.000000,144.000000,0.471239,30.404371,50.780403,26.232737,141.549500
5386123.000000,246.000000,144.000000,0.484329,30.484428,51.524376,26.175417,140.689850
5400132.000000,246.000000,144.000000,0.497419,30.576061,52.289154,26.128147,139.865067
5420948.000000,246.000000,144.000000,0.510509,30.679665,53.075512,26.090904,139.074478
5434801.000000,246.000000,144.000000,0.523599,30.795425,53.884148,26.063541,-1.000000
5455688.000000,246.000000,144.000000,0.536689,30.923763,54.715874,26.045856,-1.000000
5469380.000000,246.000000,144.000000,0.549779,31.064968,55.571514,26.037819,-1.000000
5483374.000000,246.000000,144.000000,0.562868,31.219351,56.451904,26.039322,-1.000000
5504320.000000,246.000000,144.000000,0.575958,31.387342,176.666092,26.050257,-1.000000
5518180.000000,246.000000,144.000000,0.589048,31.569353,178.630951,26.070589,-1.000000
5539194.000000,246.000000,144.000000,0.602138,31.765776,180.662476,26.100239,-1.000000
5552693.000000,246.000000,144.000000,0.615228,31.977123,182.763199,26.139097,-1.000000
5566859.000000,246.000000,144.000000,0.628318,32.203835,184.935730,26.187197,-1.000000
5587607.000000,246.000000,144.000000,0.641408,32.446465,187.182922,26.244385,-1.000000
5601507.000000,246.000000,144.000000,0.654498,32.705532,189.507706,26.310709,-1.000000
5622083.000000,246.000000,144.000000,0.667588,32.981636,191.913254,26.386129,-1.000000
5636158.000000,246.000000,144.000000,0.680678,33.275375,194.402939,26.470619,-1.000000
5650189.000000,246.000000,144.000000,0.693768,33.587479,196.980164,26.564127,-1.000000
5671030.000000,246.000000,144.000000,0.706858,33.918594,196.840347,26.666729,-1.000000
