time,x,y,z,ax,ay,az,aw
1526153118.54,0.0108714606613,0.0105379261076,0.0629828050733,0.00255150447053,-0.000878336386833,0.000212414244866,0.999996336608,
1526153118.63,0.0042926967144,0.0112583758309,0.106051445007,0.00237538465945,-0.000853558964162,9.1307295965e-05,0.999996810319,
1526153118.74,0.00778609421104,0.0126989139244,0.114842414856,0.00331691553007,-0.000993201962944,7.92861162357e-05,0.999994002649,
1526153118.84,0.00676975492388,0.015197112225,0.16298507154,0.0028700065128,-0.00143692861869,-5.27071762913e-05,0.999994847747,
1526153118.94,0.0125487307087,0.0160493142903,0.175850003958,0.00354951983155,-0.00129062879552,1.08405247889e-05,0.999992867509,
1526153119.03,0.00489359628409,0.0119998892769,0.229638412595,0.00227954014508,-0.00209188948037,0.000466419506017,0.999995105062,
1526153119.13,0.00960258021951,0.0110061066225,0.248650550842,0.00271564819612,-0.00227712736539,0.000959792254804,0.99999325935,
1526153119.24,0.000713246176019,0.0154554191977,0.297377586365,0.00223800548039,-0.00281305587273,0.000835037756764,0.999993190357,
1526153119.34,0.00462113972753,0.0148958237842,0.317063093185,0.00275549779239,-0.00302182175332,0.00134286654678,0.999990736224,
1526153119.45,-0.00994103960693,0.0216339975595,0.369721025229,0.00281540297568,-0.00334800390086,0.000196478834512,0.99999041284,
1526153119.55,-0.00995590910316,0.0233558956534,0.393448233604,0.00375088665521,-0.00335137980193,4.322485619e-05,0.999987348537,
1526153119.63,-0.00968555454165,0.0240216311067,0.446721822023,0.00314632892874,-0.0042041060939,-0.000298176044718,0.999986168503,
1526153119.75,-0.00980362575501,0.0259985420853,0.471098959446,0.0039982075369,-0.0042724602231,-0.000408497268523,0.999982796627,
1526153119.85,-0.0160587411374,0.0259508490562,0.520462632179,0.00288200812096,-0.00505710132346,-0.000171787176468,0.999983044979,
1526153119.95,-0.0151396105066,0.0280665531754,0.54487413168,0.00386007997244,-0.00509890479233,-0.000299500448065,0.999979505416,
1526153120.05,-0.0198557022959,0.0292413346469,0.598630547523,0.00324094090323,-0.00551098617022,8.59265039782e-05,0.999979558766,
1526153120.15,-0.0175531171262,0.0370787978172,0.622568130493,0.00559333626203,-0.00598655010311,-0.00107845839051,0.999965855784,
1526153120.25,-0.0222157333046,0.0373635850847,0.678679227829,0.00581851928358,-0.00694414555111,-0.00135948980661,0.999958036851,
1526153120.35,-0.0274548772722,0.0411090180278,0.707237482071,0.00652208239211,-0.00734821931875,-0.00198749780471,0.999949756721,
1526153120.45,-0.0464769639075,0.0311197433621,0.767692685127,0.00195357193533,-0.00613373985806,0.00123196129243,0.999978521301,
1526153120.56,-0.0536442995071,0.0377926379442,0.795772075653,0.00295533508906,-0.00580923998967,0.000846649763953,0.999978400721,
1526153120.64,-0.0505115091801,0.0343262515962,0.851494967937,0.00360634989617,-0.00720990579046,-2.37616522443e-05,0.999967504939,
1526153120.76,-0.0574652217329,0.040254611522,0.879737615585,0.00458745385972,-0.00693392273278,-0.000260526402977,0.999965403456,
1526153120.86,-0.0515633821487,0.03490267694,0.944796264172,0.00349101530514,-0.0081171147106,0.000231684585751,0.999960935029,
1526153120.96,-0.0534681305289,0.0396175645292,0.975492537022,0.00446690218784,-0.00784957592639,-0.000115360775121,0.999959207985,
1526153121.05,-0.0539803244174,0.0394944697618,1.03756284714,0.00352947396313,-0.00905004570018,0.000163010055339,0.999952805343,
1526153121.16,-0.0568740516901,0.0438498854637,1.06917798519,0.00449584064988,-0.00872584970385,-3.48578686225e-05,0.999951821714,
1526153121.26,-0.0590213648975,0.0411890335381,1.12980520725,0.00343203978702,-0.009838215296,0.000402075319077,0.999945633001,
1526153121.36,-0.0616283714771,0.0456430763006,1.16177940369,0.00440183897157,-0.00962787973469,0.000170171364725,0.999943947823,
1526153121.45,-0.0649433806539,0.0432031713426,1.21867692471,0.00337412741759,-0.0110195656027,0.000429832277282,0.99993349763,
1526153121.57,-0.0684835463762,0.0475178286433,1.2514193058,0.00427048011805,-0.0109869713482,0.000178112862415,0.999930506453,
1526153121.66,-0.0752465501428,0.0457053259015,1.3100965023,0.00287712513747,-0.0119606824814,0.000419815941648,0.99992424112,
1526153121.75,-0.078300178051,0.0500772073865,1.34017920494,0.00386988287267,-0.0119753265287,0.000161761636495,0.99992079156,
1526153121.87,-0.0836474820971,0.0518506616354,1.40213775635,0.00286831000055,-0.013394566392,0.000314743935785,0.999906125256,
1526153121.97,-0.089299954474,0.056809052825,1.43927168846,0.00371211021398,-0.0138462075976,0.000161980140292,0.999897232987,
1526153122.07,-0.0949760749936,0.0514887906611,1.50639390945,0.0027861310039,-0.0145160436762,0.000258701108882,0.999890721541,
1526153122.17,-0.100213997066,0.0518161170185,1.54727995396,0.00270011794076,-0.0152601559571,0.000181381441066,0.999879894839,
1526153122.26,-0.102304197848,0.0429472289979,1.60128593445,0.00149783515463,-0.0144649777087,0.000457118097773,0.999894150374,
1526153122.37,-0.105113349855,0.0435717329383,1.63572204113,0.0015913277389,-0.0140043620681,0.000682341356433,0.999900435008,
1526153122.46,-0.107494227588,0.0439079925418,1.69417667389,0.00157635040141,-0.0148094060103,0.000607181107064,0.999888907801,
1526153122.56,-0.110539332032,0.0446360222995,1.72928273678,0.0016707029005,-0.0144563303454,0.000847462080758,0.999893746892,
1526153122.68,-0.111751995981,0.0416868329048,1.78895640373,0.00140615872639,-0.0164123938651,0.000249626584965,0.999864287657,
1526153122.77,-0.113283790648,0.0376021452248,1.8240429163,0.00105615011707,-0.0166417278,0.000351900802943,0.999860897129,
1526153122.88,-0.123789921403,0.0399284400046,1.88406479359,0.00112745489329,-0.0175826167401,1.14430932764e-05,0.999844778105,
1526153122.98,-0.126026466489,0.0363918058574,1.91908657551,0.000818418683921,-0.0179544872334,0.00018769022597,0.999838452627,
1526153123.08,-0.136529147625,0.0439875759184,1.97548449039,0.00157633162132,-0.0194763676654,3.12328460944e-05,0.999809074427,
1526153123.17,-0.139726817608,0.0411493964493,2.01105976105,0.00135957014803,-0.0199722558479,0.000173800709956,0.999799595098,
1526153123.28,-0.157488495111,0.0487376451492,2.07945418358,0.00198529652475,-0.0227422381908,-8.3558734541e-05,0.999739387149,
1526153123.38,-0.169709354639,0.0470715761185,2.1176469326,0.00196984591977,-0.0238841937318,0.000404122293824,0.999712709573,
1526153123.48,-0.18774291873,0.0499186292291,2.18334674835,0.00266409417726,-0.0272079141564,0.00027966724213,0.999626207037,
1526153123.58,-0.19585506618,0.0500838235021,2.22201418877,0.00301344017026,-0.0289091444983,0.000657190727701,0.999577284978,
1526153123.67,-0.214666604996,0.0539526380599,2.28834915161,0.00302836069136,-0.0320719234627,0.000273768773147,0.999480938191,
1526153123.78,-0.224181637168,0.0542342104018,2.32751345634,0.00342876617342,-0.0338339401725,0.000671807683471,0.999421360953,
1526153123.88,-0.247103661299,0.0560772940516,2.39299607277,0.00261143196248,-0.0377187577217,0.000470269736412,0.999284871588,
1526153123.97,-0.257282286882,0.0565149895847,2.43145251274,0.00298700555135,-0.0397073448313,0.000882768678555,0.999206497819,
1526153124.08,-0.290071696043,0.0617112591863,2.49536061287,0.00200931417158,-0.0436653686789,0.000791757397342,0.999043878593,
1526153124.19,-0.301043361425,0.062138594687,2.53390717506,0.00240398056013,-0.0458171860081,0.0011618490751,0.998946273055,
1526153124.27,-0.328178375959,0.0623198077083,2.59768819809,0.00192263665902,-0.0503953273489,0.000863302980118,0.998727124473,
1526153124.39,-0.343316972256,0.0644636005163,2.63453173637,0.00296884103336,-0.0528357405018,0.00112899156374,0.998598165373,
1526153124.49,-0.37648999691,0.0670449510217,2.70081591606,0.00285121408425,-0.0567193870541,0.000607226965633,0.99838590384,
1526153124.58,-0.391500502825,0.0692121908069,2.73699879646,0.0039175501873,-0.0592696329371,0.000842889863729,0.998233967038,
1526153124.69,-0.41699436307,0.0671559199691,2.79793810844,0.00262739980258,-0.063093091704,0.000636638162164,0.998003984582,
1526153124.79,-0.426668971777,0.0668072924018,2.83460903168,0.00268554418801,-0.0665432167273,0.00105368596792,0.997779373362,
1526153124.9,-0.45710465312,0.0680439844728,2.88611578941,0.0011571372622,-0.0700081412008,0.000972363060889,0.997545275017,
1526153124.98,-0.468941122293,0.0686125457287,2.92222237587,0.00136016437134,-0.0734425988881,0.00132610347592,0.997297636652,
1526153125.09,-0.502956986427,0.0712026134133,2.96504473686,0.00229000302514,-0.0775407917341,0.000777307651048,0.996986247295,
1526153125.19,-0.516292452812,0.0726681649685,2.99344325066,0.00359698072422,-0.0814941580092,0.00115440656543,0.996666660065,
1526153125.29,-0.556268692017,0.071065440774,3.03887724876,0.00251847195475,-0.0852424701877,0.000692935892685,0.996356812801,
1526153125.39,-0.56533396244,0.0715245306492,3.06360936165,0.00326764229846,-0.0900857137886,0.00117749899499,0.995927959333,
1526153125.5,-0.604956746101,0.073280133307,3.10956645012,0.00191189526117,-0.0948113177117,0.000900298895524,0.995493017631,
1526153125.59,-0.621356070042,0.0749167129397,3.13628363609,0.0030240264325,-0.0993473722164,0.00122606101096,0.99504746202,
1526153125.7,-0.661852836609,0.0768250748515,3.18573045731,0.00214215353669,-0.103068793417,0.000801991800685,0.994671599982,
1526153125.79,-0.679158449173,0.0781456679106,3.21265172958,0.00313579710595,-0.107609648945,0.00112219588433,0.994187643711,
1526153125.9,-0.718724012375,0.0783838033676,3.25549459457,0.00206287179047,-0.110996958671,0.00049055710945,0.99381848397,
1526153126.0,-0.737079441547,0.0798777937889,3.28236865997,0.00297636008772,-0.115434188399,0.000765485142913,0.993310376198,
1526153126.1,-0.767216920853,0.0840844064951,3.32528066635,0.00179731678135,-0.118941886198,0.000514789993236,0.992899457323,
1526153126.21,-0.785902380943,0.0859074294567,3.35196328163,0.00274236928209,-0.123419563871,0.000763221083238,0.992350496628,
1526153126.28,-0.826420783997,0.0850382447243,3.39889597893,0.00147977415212,-0.127252075599,0.000441751099579,0.991869207295,
1526153126.41,-0.846761703491,0.0870116278529,3.42558765411,0.00236417744336,-0.131755434641,0.000637472863283,0.991279228944,
1526153126.5,-0.88693523407,0.0871446952224,3.47156047821,0.00178238266031,-0.135974075055,0.00024451067821,0.99071076215,
1526153126.6,-0.907089471817,0.0894956067204,3.49816298485,0.00271521422894,-0.140453006261,0.000390137317487,0.99008354619,
1526153126.71,-0.95513600111,0.0903421640396,3.54191946983,0.00146196875149,-0.144076225982,0.000125334539308,0.989565504676,
1526153126.8,-0.976228475571,0.0927119925618,3.56811904907,0.00225482763119,-0.148569582692,0.000253244841069,0.988899353179,
1526153126.91,-1.01226294041,0.0917760580778,3.60581493378,0.00110722381804,-0.151784581909,2.54384723674e-05,0.988412977506,
1526153127.01,-1.03411209583,0.0939389765263,3.63144087791,0.00185430590676,-0.156167044039,0.000200270749352,0.987728897926,
1526153127.09,-1.07301270962,0.0942645594478,3.66692972183,0.00102499203216,-0.15908544342,0.000147201856916,0.987264275366,
1526153127.2,-1.09523773193,0.096472337842,3.69217967987,0.00171217126147,-0.163490682168,0.000332714415071,0.98654333641,
1526153127.32,-1.13289701939,0.0949694812298,3.72909426689,0.000949943395252,-0.166553244768,1.53247186122e-05,0.986032004567,
1526153127.41,-1.1558355093,0.0970664843917,3.75388240814,0.0015342664364,-0.17092788749,0.000211370237189,0.985282324325,
1526153127.52,-1.19117796421,0.0995435863733,3.78798985481,0.00103389730375,-0.174194965987,3.41030105151e-05,0.984710639588,
1526153127.62,-1.21468305588,0.104163944721,3.81101536751,0.00246616291269,-0.178289546034,0.00077552734285,0.983974671611,
1526153127.7,-1.2521032095,0.0993323251605,3.84400057793,0.00233593323317,-0.181408180321,0.000784233221431,0.983404799921,
1526153127.81,-1.27531325817,0.103359252214,3.86731696129,0.00362727193244,-0.185477790464,0.00145469330802,0.982640685098,
1526153127.92,-1.30926632881,0.101470299065,3.90157413483,0.00201814727699,-0.188555156585,0.000903508385347,0.98206011205,
1526153128.02,-1.33260154724,0.105519071221,3.92425966263,0.00325587428284,-0.192520691274,0.00157618063255,0.981286246907,
1526153128.12,-1.3660197258,0.103458896279,3.9505648613,0.00136784540858,-0.194911430631,0.00124290493853,0.980819105848,
1526153128.22,-1.38942325115,0.106657616794,3.97346162796,0.00239170471298,-0.198851253936,0.00197134026719,0.98002478151,
1526153128.3,-1.41749286652,0.105024076998,4.00025653839,0.00118983629623,-0.201092372945,0.00129756393212,0.97957070095,
1526153128.42,-1.44028830528,0.108049072325,4.02236795425,0.00209095791413,-0.204891608423,0.00201162723458,0.978780368647,
1526153128.53,-1.46425044537,0.106138147414,4.03836107254,0.00092565053889,-0.206547942664,0.00132873628327,0.978435140933,
1526153128.63,-1.48639261723,0.109078019857,4.05962324142,0.00178559067018,-0.210339740853,0.00202159000952,0.97762463055,
1526153128.73,-1.51158094406,0.108031898737,4.07998991013,0.00065833906069,-0.212037515404,0.00147448352404,0.97726019286,
1526153128.83,-1.53287601471,0.110460802913,4.10130977631,0.00130151850855,-0.215590500226,0.00217819437911,0.976480567001,
1526153128.91,-1.55636405945,0.109765537083,4.12115812302,0.000692703939568,-0.217239920986,0.00131470468955,0.976117107955,
1526153129.03,-1.57711434364,0.112117081881,4.1412115097,0.00125090829129,-0.220732673345,0.00198761564112,0.975331518782,
1526153129.13,-1.60353696346,0.111610740423,4.1556596756,1.37750638339e-05,-0.222078281107,0.00153794686936,0.975027626065,
