time,x,y,z,ax,ay,az,aw,roll,pitch,yaw
1526316915.67,-4.49548435211,0.111260451376,7.19604969025,-0.0185484721792,-0.421212561649,0.00664852883926,0.906747886214,-0.0608096154511,-0.868902159309,0.0428879599533,
1526316915.75,-4.39503335953,0.0997798964381,7.10991716385,-0.0192550948318,-0.421266083619,0.00702926624757,0.906705419379,-0.0632988244966,-0.868959813314,0.0448865571201,
1526316915.85,-4.38631868362,0.0955822616816,7.10322380066,-0.0195442197551,-0.422159283707,0.00692393158723,0.906284514833,-0.0641175107055,-0.870920533516,0.0451179737472,
1526316915.95,-4.43751096725,0.0946715921164,7.1662197113,-0.0186818791439,-0.423125331598,0.00655445720601,0.905854833978,-0.0613559794639,-0.873117326457,0.0431057667923,
1526316916.07,-4.42918634415,0.0912744551897,7.16013860703,-0.018824689265,-0.423897322975,0.00646854071912,0.905491495614,-0.061765932339,-0.87481874446,0.0431772507183,
1526316916.15,-4.44023180008,0.0990358293056,7.16829919815,-0.0183428891033,-0.423008377433,0.00659688831057,0.905916073433,-0.0604376740321,-0.87287268556,0.042760679796,
1526316916.25,-4.43147945404,0.0958085805178,7.16315364838,-0.018410382753,-0.423797262019,0.00666761035403,0.905545405534,-0.0608425749806,-0.874604332412,0.0431759984594,
1526316916.35,-4.44425535202,0.0995176285505,7.17536067963,-0.0181624623834,-0.423046170783,0.00672408703486,0.905901125399,-0.0601017419416,-0.872956078224,0.0428879774313,
1526316916.45,-4.4366312027,0.0964290499687,7.17142963409,-0.018343202379,-0.423734809691,0.00673783450797,0.905575474253,-0.0607357641555,-0.874465088048,0.0432754718917,
1526316916.57,-4.45364093781,0.100227229297,7.18146038055,-0.0182285599519,-0.422890931151,0.0066147904254,0.905973081554,-0.0601208964335,-0.872617956803,0.0426420968895,
1526316916.66,-4.44609546661,0.0973488986492,7.17875003815,-0.0183714869352,-0.423531440456,0.00666892378539,0.905670543227,-0.0606934246636,-0.874019854411,0.0430854750265,
1526316916.76,-4.46244287491,0.103409036994,7.19299268723,-0.0176255033156,-0.422914723055,0.0066837064311,0.905973402879,-0.0585147090289,-0.872694077997,0.0420474844176,
1526316916.86,-4.45555639267,0.101165220141,7.19095754623,-0.0174602365167,-0.423501621801,0.00689859580261,0.905700792673,-0.0584188987578,-0.873982057751,0.0425275366409,
1526316916.96,-4.48877477646,0.103045269847,7.21147203445,-0.0173732260023,-0.422514227884,0.00662026837509,0.906165586579,-0.0576612206908,-0.871826870421,0.041475646468,
1526316917.06,-4.49278259277,0.101988829672,7.21658802032,-0.0173006639284,-0.422358523915,0.00694370545747,0.906237137431,-0.0578576336422,-0.87146641457,0.0422671135351,
1526316917.17,-4.52317333221,0.110000059009,7.23862552643,-0.0166883562483,-0.421674898599,0.00674725098758,0.906568394145,-0.0557781339272,-0.870000206668,0.0408096116691,
1526316917.26,-4.52865743637,0.108635142446,7.24449014664,-0.016770485938,-0.421569576882,0.00703129052487,0.90661370142,-0.0563646202786,-0.869746846888,0.0416994441346,
1526316917.36,-4.55155420303,0.108717039227,7.2648768425,-0.0172561347221,-0.421869680814,0.00653964311792,0.906468659851,-0.0571320681635,-0.870416731949,0.0409972344585,
1526316917.46,-4.55673551559,0.107790268958,7.27094697952,-0.0172503581444,-0.421823666204,0.00678233308941,0.906488400219,-0.0574261712243,-0.870300271118,0.0416651032934,
1526316917.56,-4.57638645172,0.112184405327,7.28623533249,-0.0169583909682,-0.422031690099,0.00652086284936,0.906398998166,-0.056293028951,-0.870788329895,0.0405792797295,
1526316917.68,-4.58258485794,0.111414290965,7.29249382019,-0.016917124259,-0.421978193961,0.0067587830451,0.906422933062,-0.0564802956957,-0.870657501448,0.0411865067888,
1526316917.77,-4.60870456696,0.11403593421,7.30839681625,-0.0168547408917,-0.422076583052,0.00652126637771,0.906380024511,-0.0560082432409,-0.870891876923,0.0404514443956,
1526316917.86,-4.61480665207,0.114023521543,7.31666374207,-0.0165768540036,-0.422108718908,0.0068670440652,0.906367630181,-0.0556829923364,-0.870953901958,0.0410652883068,
1526316917.97,-4.64595317841,0.115682050586,7.34046983719,-0.0169789233794,-0.422238521744,0.0064729865342,0.906302624603,-0.0563178000751,-0.871246240522,0.0405023804506,
1526316918.09,-4.65270519257,0.116304770112,7.34883165359,-0.0165224709556,-0.422233805543,0.00680956568205,0.90631079174,-0.0554725544214,-0.871235578955,0.0408509417965,
1526316918.17,-4.68350982666,0.122078187764,7.37152290344,-0.0165708002043,-0.422294132562,0.00648408225437,0.906284188796,-0.0551910208478,-0.871386257335,0.0400070847646,
1526316918.29,-4.69126462936,0.123120702803,7.37994527817,-0.0159500916447,-0.422279741972,0.00689947552928,0.906298963551,-0.0539851014267,-0.871357043146,0.0403608034031,
1526316918.37,-4.72628879547,0.125858828425,7.40334606171,-0.0161435265339,-0.42290926262,0.0065555926371,0.906004506803,-0.0541670477561,-0.872756872917,0.0397375674417,
