time,x,y,z,ax,ay,az,aw,roll,pitch,yaw
1526316953.3,0.00514634745196,0.000590588722844,0.00485070282593,0.000714588788584,-0.000194655762897,1.77268451549e-05,0.999999725579,0.00142917087855,-0.000389336763605,3.51754856021e-05,
1526316953.38,0.00996529962867,0.00140636740252,0.0104905664921,0.00140027918651,-0.000378003153728,5.21467265181e-05,0.999998946806,0.00280052046155,-0.000756151623244,0.000103234752994,
1526316953.48,0.0144591992721,0.00260412576608,0.0165174212307,0.00220335566541,-0.00062197040534,2.98173646677e-05,0.99999737874,0.00440668036086,-0.00124406926742,5.68937730429e-05,
1526316953.58,0.00709873903543,0.00929601676762,0.0555515289307,0.00178869755153,-0.000762056108934,0.000244843122259,0.99999807994,0.00357702685326,-0.00152498578315,0.000486959713976,
1526316953.7,0.0108714606613,0.0105379261076,0.0629828050733,0.00255150447053,-0.000878336386833,0.000212414244866,0.999996336608,0.00510264713009,-0.00175775119523,0.00042034543673,
1526316953.78,0.0042926967144,0.0112583758309,0.106051445007,0.00237538465945,-0.000853558964162,9.1307295965e-05,0.999996810319,0.00475062308783,-0.00170754709285,0.000178559208972,
1526316953.89,0.00778609421104,0.0126989139244,0.114842414856,0.00331691553007,-0.000993201962944,7.92861162357e-05,0.999994002649,0.00663369552833,-0.00198691929077,0.000151982848015,
1526316953.98,0.00676975492388,0.015197112225,0.16298507154,0.0028700065128,-0.00143692861869,-5.27071762913e-05,0.999994847747,0.00574019014641,-0.00287354384527,-0.000113662267963,
1526316954.1,0.0125487307087,0.0160493142903,0.175850003958,0.00354951983155,-0.00129062879552,1.08405247889e-05,0.999992867509,0.00709904432566,-0.0025813190042,1.25187116359e-05,
1526316954.18,0.00489359628409,0.0119998892769,0.229638412595,0.00227954014508,-0.00209188948037,0.000466419506017,0.999995105062,0.00455716227577,-0.0041858971494,0.000923305573876,
1526316954.28,0.00960258021951,0.0110061066225,0.248650550842,0.00271564819612,-0.00227712736539,0.000959792254804,0.99999325935,0.00542697169176,-0.00455945274577,0.0019072247972,
1526316954.39,0.000713246176019,0.0154554191977,0.297377586365,0.00223800548039,-0.00281305587273,0.000835037756764,0.999993190357,0.00447136822426,-0.00562984081149,0.00165749989817,
1526316954.5,0.00462113972753,0.0148958237842,0.317063093185,0.00275549779239,-0.00302182175332,0.00134286654678,0.999990736224,0.00550295724366,-0.00605102497751,0.00266910700071,
1526316954.6,-0.00994103960693,0.0216339975595,0.369721025229,0.00281540297568,-0.00334800390086,0.000196478834512,0.99999041284,0.00562959232557,-0.0066971000022,0.00037411033972,
1526316954.69,-0.00995590910316,0.0233558956534,0.393448233604,0.00375088665521,-0.00335137980193,4.322485619e-05,0.999987348537,0.00750162755939,-0.00670304926274,6.13087044735e-05,
1526316954.79,-0.00968555454165,0.0240216311067,0.446721822023,0.00314632892874,-0.0042041060939,-0.000298176044718,0.999986168503,0.00629534196123,-0.00840631857655,-0.000622820888565,
1526316954.9,-0.00980362575501,0.0259985420853,0.471098959446,0.0039982075369,-0.0042724602231,-0.000408497268523,0.999982796627,0.00800014525973,-0.00854161079538,-0.000851176000424,
1526316955.0,-0.0160587411374,0.0259508490562,0.520462632179,0.00288200812096,-0.00505710132346,-0.000171787176468,0.999983044979,0.00576598281282,-0.0101132133671,-0.000372736811477,
1526316955.11,-0.0151396105066,0.0280665531754,0.54487413168,0.00386007997244,-0.00509890479233,-0.000299500448065,0.999979505416,0.00772353417396,-0.0101954650247,-0.000638386202795,
1526316955.19,-0.0198557022959,0.0292413346469,0.598630547523,0.00324094090323,-0.00551098617022,8.59265039782e-05,0.999979558766,0.00648124132091,-0.0110225272008,0.000136136204422,
1526316955.31,-0.0175531171262,0.0370787978172,0.622568130493,0.00559333626203,-0.00598655010311,-0.00107845839051,0.999965855784,0.0112002383683,-0.0119609122261,-0.00222397362627,
1526316955.39,-0.0222157333046,0.0373635850847,0.678679227829,0.00581851928358,-0.00694414555111,-0.00135948980661,0.999958036851,0.0116568168045,-0.0138723328019,-0.0027999478729,
1526316955.51,-0.0274548772722,0.0411090180278,0.707237482071,0.00652208239211,-0.00734821931875,-0.00198749780471,0.999949756721,0.0130744979034,-0.0146703012039,-0.00407109659891,
1526316955.6,-0.0464769639075,0.0311197433621,0.767692685127,0.00195357193533,-0.00613373985806,0.00123196129243,0.999978521301,0.00389224981977,-0.012272337731,0.00244009042917,
1526316955.71,-0.0536442995071,0.0377926379442,0.795772075653,0.00295533508906,-0.00580923998967,0.000846649763953,0.999978400721,0.00590113860991,-0.0116234950276,0.00165903928482,
1526316955.8,-0.0505115091801,0.0343262515962,0.851494967937,0.00360634989617,-0.00720990579046,-2.37616522443e-05,0.999967504939,0.00721362054877,-0.0144196713237,-9.9534994201e-05,
1526316955.9,-0.0574652217329,0.040254611522,0.879737615585,0.00458745385972,-0.00693392273278,-0.000260526402977,0.999965403456,0.00917921446719,-0.0138654196469,-0.000584709118073,
1526316956.02,-0.0515633821487,0.03490267694,0.944796264172,0.00349101530514,-0.0081171147106,0.000231684585751,0.999960935029,0.00697897310912,-0.0162359261637,0.000406730744846,
1526316956.11,-0.0534681305289,0.0396175645292,0.975492537022,0.00446690218784,-0.00784957592639,-0.000115360775121,0.999959207985,0.00893647103398,-0.0156981255854,-0.000300875790765,
1526316956.21,-0.0539803244174,0.0394944697618,1.03756284714,0.00352947396313,-0.00905004570018,0.000163010055339,0.999952805343,0.00705687894285,-0.0181013763517,0.000262163875057,
1526316956.32,-0.0568740516901,0.0438498854637,1.06917798519,0.00449584064988,-0.00872584970385,-3.48578686225e-05,0.999951821714,0.00899334707497,-0.0174514309831,-0.000148195004612,
1526316956.41,-0.0590213648975,0.0411890335381,1.12980520725,0.00343203978702,-0.009838215296,0.000402075319077,0.999945633001,0.0068571764908,-0.0196793909298,0.000736719346021,
1526316956.52,-0.0616283714771,0.0456430763006,1.16177940369,0.00440183897157,-0.00962787973469,0.000170171364725,0.999943947823,0.00880165329973,-0.0192573685077,0.000255610297417,
1526316956.6,-0.0649433806539,0.0432031713426,1.21867692471,0.00337412741759,-0.0110195656027,0.000429832277282,0.99993349763,0.00674002125332,-0.0220423510607,0.000785435428872,
1526316956.71,-0.0684835463762,0.0475178286433,1.2514193058,0.00427048011805,-0.0109869713482,0.000178112862415,0.999930506453,0.0085386182843,-0.0219757056553,0.000262425051183,
1526316956.81,-0.0752465501428,0.0457053259015,1.3100965023,0.00287712513747,-0.0119606824814,0.000419815941648,0.99992424112,0.00574544755143,-0.0239242506206,0.000770964217404,
1526316956.91,-0.078300178051,0.0500772073865,1.34017920494,0.00386988287267,-0.0119753265287,0.000161761636495,0.99992079156,0.00773757504553,-0.0239522981842,0.000230877652752,
1526316957.01,-0.0836474820971,0.0518506616354,1.40213775635,0.00286831000055,-0.013394566392,0.000314743935785,0.999906125256,0.00572973735506,-0.0267916285457,0.000552787650464,
1526316957.11,-0.089299954474,0.056809052825,1.43927168846,0.00371211021398,-0.0138462075976,0.000161980140292,0.999897232987,0.007421885972,-0.0276943119094,0.000221214520232,
1526316957.23,-0.0949760749936,0.0514887906611,1.50639390945,0.0027861310039,-0.0145160436762,0.000258701108882,0.999890721541,0.00556651729959,-0.0290344354797,0.000436642523591,
1526316957.33,-0.100213997066,0.0518161170185,1.54727995396,0.00270011794076,-0.0152601559571,0.000181381441066,0.999879894839,0.00539659122609,-0.03052236473,0.00028044149593,
1526316957.41,-0.102304197848,0.0429472289979,1.60128593445,0.00149783515463,-0.0144649777087,0.000457118097773,0.999894150374,0.00298338181069,-0.0289322988299,0.000871171823803,
1526316957.52,-0.105113349855,0.0435717329383,1.63572204113,0.0015913277389,-0.0140043620681,0.000682341356433,0.999900435008,0.00316447380097,-0.0280117702441,0.00132049419733,
1526316957.61,-0.107494227588,0.0439079925418,1.69417667389,0.00157635040141,-0.0148094060103,0.000607181107064,0.999888907801,0.00313574734472,-0.0296217676042,0.00116805036214,
1526316957.72,-0.110539332032,0.0446360222995,1.72928273678,0.0016707029005,-0.0144563303454,0.000847462080758,0.999893746892,0.00331794153796,-0.0289164499787,0.00164712893352,
1526316957.84,-0.111751995981,0.0416868329048,1.78895640373,0.00140615872639,-0.0164123938651,0.000249626584965,0.999864287657,0.00280525687126,-0.0328269304699,0.000453272772024,
1526316957.92,-0.113283790648,0.0376021452248,1.8240429163,0.00105615011707,-0.0166417278,0.000351900802943,0.999860897129,0.00210145951506,-0.0332857151781,0.000668921957487,
